Şəkil faylı,Bitki ID,Kataloqdakı cavab adı,Elmi/latın adı,Foto rolu,Mənbə,Mənbə faylı/səhifəsi,Orijinal foto etiketi,Müəllif,Lisenziya/istifadə statusu,Lisenziya linki,Kataloqdakı quiz statusu,Şəkildəki nümunə növ,Botaniki qeyd
plant-014.webp,PLT-014,Aster,Aster,əsas foto,iNaturalist,https://www.inaturalist.org/observations/127724880,,"(c) Aleksei Baushev, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Şərti,Aster amellus,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-015.webp,PLT-015,Aptenia,Aptenia,əsas foto,iNaturalist,https://www.inaturalist.org/observations/42619158,,"(c) Tony Rebelo, some rights reserved (CC BY-SA)",CC-BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,Uyğundur,Mesembryanthemum cordifolium,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-016.webp,PLT-016,Westringia,Westringia,əsas foto,iNaturalist,https://www.inaturalist.org/observations/100383927,,"(c) ronavery, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Westringia fruticosa,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-017.webp,PLT-017,Oleandr,Nerium oleander,əsas foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:N20150824-0002%E2%80%94Nerium_oleander_(red)%E2%80%94Ohlone_Pathway_(21042706469).jpg,,"John Rusk  from Berkeley, CA, United States of America",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Uyğundur,Nerium oleander,
plant-018.webp,PLT-018,Hibiskus,Hibiscus,əsas foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:20250823_Hibiscus_syriacus_Ketmia_syryjska_Panewniki_02.jpg,,Abraham,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Uyğundur,Hibiscus syriacus,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-019.webp,PLT-019,Campsis,Campsis,əsas foto,iNaturalist,https://www.inaturalist.org/observations/130718019,,no rights reserved,CC0,https://creativecommons.org/publicdomain/zero/1.0/,Uyğundur,Campsis radicans,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-020.webp,PLT-020,Pyracantha,Pyracantha,əsas foto,iNaturalist,https://www.inaturalist.org/observations/7663064,,"(c) Chelsea Welch, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Pyracantha coccinea,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-021.webp,PLT-021,Leucanthemum,Leucanthemum,əsas foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:20210612_Leucanthemum_vulgare.jpg,,Flocci Nivis,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Şərti,Leucanthemum vulgare,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-022.webp,PLT-022,Jasmin,Jasminum,əsas foto,iNaturalist,https://www.inaturalist.org/observations/361995888,,no rights reserved,CC0,https://creativecommons.org/publicdomain/zero/1.0/,Uyğundur,Jasminum officinale,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-023.webp,PLT-023,Euonymus,Euonymus,əsas foto,iNaturalist,https://www.inaturalist.org/observations/28959706,,"(c) Sandy Wolkenberg, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Euonymus japonicus,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-024.webp,PLT-024,Qızılgül,Rosa,əsas foto,iNaturalist,https://www.inaturalist.org/observations/45675208,,"(c) Charlotte Jones, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Rosa rugosa,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-025.webp,PLT-025,Jacobaea maritima,Jacobaea maritima,əsas foto,iNaturalist,https://www.inaturalist.org/observations/50250914,,"(c) Максим Шумских, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Jacobaea maritima,
plant-026.webp,PLT-026,Teucrium fruticans,Teucrium fruticans,əsas foto,iNaturalist,https://www.inaturalist.org/observations/392678831,,"(c) zebedeugalinha, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Şərti,Teucrium fruticans,
plant-027.webp,PLT-027,Microphyllus,Microphyllus,əsas foto,Mehdiabad istixanasının Excel hesabatı,Mehdiabad həftəlik hesabat 26.08.2024 (1).xlsx / Sektor-2-ş-18.jpg,"Microphyllus (2,8l)",Müəllif hesabatda göstərilməyib,Təşkilatın istifadə icazəsi gözlənilir,,Şərti,Dəqiqləşdirilməyib,Microphyllus növ adı deyil; yalnız mənbə Excel fotosu istifadə olunub.
plant-028.webp,PLT-028,Viburnum lucidum,Viburnum lucidum,əsas foto,Mehdiabad istixanasının Excel hesabatı,Mehdiabad həftəlik hesabat 26.08.2024 (1).xlsx / Sektor-2-ş-35.jpg,"Viburnum Lucidum (2,5l)",Müəllif hesabatda göstərilməyib,Təşkilatın istifadə icazəsi gözlənilir,,Uyğundur,Dəqiqləşdirilməyib,Viburnum lucidum adı yoxlanmalıdır; mənbə Excel fotosu saxlanıb.
plant-029.webp,PLT-029,Sarmaşıq,Hedera helix,əsas foto,iNaturalist,https://www.inaturalist.org/observations/24846027,,"(c) Marianna Boi, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Hedera helix,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-030.webp,PLT-030,Osteospermum,Osteospermum,əsas foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Osteospermum_ecklonis1.JPG,,Joaquim Alves Gaspar,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,Şərti,Osteospermum ecklonis,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-031.webp,PLT-031,Buxus,Buxus,əsas foto,iNaturalist,https://www.inaturalist.org/observations/272593323,,"(c) zebedeugalinha, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Buxus sempervirens,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-032.webp,PLT-032,Chamaerops humilis,Chamaerops humilis,əsas foto,iNaturalist,https://www.inaturalist.org/observations/86560303,,"(c) etrusko25, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Şərti,Chamaerops humilis,
plant-033.webp,PLT-033,Eldar şamı,Pinus eldarica,əsas foto,Mehdiabad istixanasının Excel hesabatı,Mehdiabad həftəlik hesabat 26.08.2024 (1).xlsx / Sektor-2-ş-04.jpg,"Pinus Eldarica (1,5l )",Müəllif hesabatda göstərilməyib,Təşkilatın istifadə icazəsi gözlənilir,,Uyğundur,Pinus eldarica (mənbə etiketi),Eldar şamı üçün mənbə Excel fotosu saxlanıb.
plant-034.webp,PLT-034,Geran (Pelargonium),Pelargonium,əsas foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Flowers_of_Pelargonium_zonale_with_pink_or_magenta_petals.jpg,,Leo219,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Uyğundur,Pelargonium zonale,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-035.webp,PLT-035,Abelia,Abelia,əsas foto,iNaturalist,https://www.inaturalist.org/observations/187449611,,"(c) Yung-Lun Lin, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Şərti,Abelia chinensis,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-036.webp,PLT-036,Schinus,Schinus,əsas foto,iNaturalist,https://www.inaturalist.org/observations/137322135,,no rights reserved,CC0,https://creativecommons.org/publicdomain/zero/1.0/,Uyğundur,Schinus molle,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-037.webp,PLT-037,Callistemon,Callistemon,əsas foto,iNaturalist,https://www.inaturalist.org/observations/382766794,,"(c) Max Campbell, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Melaleuca citrina,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-038.webp,PLT-038,Qartenziya (Hydrangea),Hydrangea,əsas foto,iNaturalist,https://www.inaturalist.org/observations/308290903,,"(c) zebedeugalinha, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Hydrangea macrophylla,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-039.webp,PLT-039,Santolina,Santolina,əsas foto,iNaturalist,https://www.inaturalist.org/observations/289361813,,"(c) Chris Webb, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Santolina chamaecyparissus,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-040.webp,PLT-004,Rozmarin,Rosmarinus,əlavə foto,iNaturalist,https://www.inaturalist.org/observations/360662906,,"(c) zebedeugalinha, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Salvia rosmarinus,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-041.webp,PLT-005,Parthenocissus,Parthenocissus,əlavə foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Parthenocissus_quinquefolia20180912_14894.jpg,,Bff,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Uyğundur,Parthenocissus quinquefolia,
plant-042.webp,PLT-007,Photinia,Photinia,əlavə foto,iNaturalist,https://www.inaturalist.org/observations/36326193,,no rights reserved,CC0,https://creativecommons.org/publicdomain/zero/1.0/,Uyğundur,Photinia × fraseri,
plant-043.webp,PLT-008,Elaeagnus,Elaeagnus,əlavə foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Elaeagnus_ebbingei_1c.JPG,,Consultaplantas,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Uyğundur,Elaeagnus × ebbingei,
plant-044.webp,PLT-009,Berberis,Berberis,əlavə foto,Mehdiabad istixanasının Excel hesabatı,Mehdiabad həftəlik hesabat 26.08.2024 (1).xlsx / Sektor-1-ş-01.jpg,Beri-beris qırmızı (1.5l),Müəllif hesabatda göstərilməyib,Təşkilatın istifadə icazəsi gözlənilir,,Uyğundur,Mənbə etiketi əsasında,
plant-045.webp,PLT-011,Ligustrum,Ligustrum,əlavə foto,Mehdiabad istixanasının Excel hesabatı,Mehdiabad həftəlik hesabat 26.08.2024 (1).xlsx / Sektor-1-ş-17.jpg,Ligustrum (1.5l),Müəllif hesabatda göstərilməyib,Təşkilatın istifadə icazəsi gözlənilir,,Şərti,Mənbə etiketi əsasında,
plant-046.webp,PLT-016,Westringia,Westringia,əlavə foto,Mehdiabad istixanasının Excel hesabatı,Mehdiabad həftəlik hesabat 26.08.2024 (1).xlsx / Sektor-1-ş-03.jpg,Westringia (2.8l),Müəllif hesabatda göstərilməyib,Təşkilatın istifadə icazəsi gözlənilir,,Uyğundur,Mənbə etiketi əsasında,
plant-047.webp,PLT-017,Oleandr,Nerium oleander,əlavə foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Nerium_Oleander_-_geograph.org.uk_-_960195.jpg,,Christine Matthews,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Uyğundur,Nerium oleander,
plant-048.webp,PLT-023,Euonymus,Euonymus,əlavə foto,iNaturalist,https://www.inaturalist.org/observations/173625613,,no rights reserved,CC0,https://creativecommons.org/publicdomain/zero/1.0/,Uyğundur,Euonymus japonicus,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-049.webp,PLT-024,Qızılgül,Rosa,əlavə foto,iNaturalist,https://www.inaturalist.org/observations/190190817,,"(c) AnimalObserverDeniz321, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Rosa rugosa,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-050.webp,PLT-034,Geran (Pelargonium),Pelargonium,əlavə foto,Mehdiabad istixanasının Excel hesabatı,Mehdiabad həftəlik hesabat 26.08.2024 (1).xlsx / Sektor-2-ş-28.jpg,"Pelargonium (1,5l)",Müəllif hesabatda göstərilməyib,Təşkilatın istifadə icazəsi gözlənilir,,Uyğundur,Mənbə etiketi əsasında,
